히1:1 옛적에선지자들을통하여여러부분과여러모양으로우리조상들에게말씀하신하나님이
히1:2 이모든날마지막에는아들을통하여우리에게말씀하셨으니이아들을만유의상속자로세우시고또그로말미암아모든세계를지으셨느니라
히1:3 이는하나님의영광의광채시요그본체의형상이시라그의능력의말씀으로만물을붙드시며죄를정결하게하는일을하시고높은곳에계신지극히크신이의우편에앉으셨느니라
히1:4 그가천사보다훨씬뛰어남은그들보다더욱아름다운이름을기업으로얻으심이니
히1:5 하나님께서어느때에천사중누구에게너는내아들이라오늘내가너를낳았다하셨으며또다시나는그에게아버지가되고그는내게아들이되리라하셨느냐
히1:6 또그가맏아들을이끌어세상에다시들어오게하실때에하나님의모든천사들은그에게경배할지어다말씀하시며
히1:7 또천사들에관하여는그는그의천사들을바람으로,그의사역자들을불꽃으로삼으시느니라하셨으되
히1:8 아들에관하여는하나님이여주의보좌는영영하며주의나라의규는공평한규이니이다
히1:9 주께서의를사랑하시고불법을미워하셨으니그러므로하나님곧주의하나님이즐거움의기름을주께부어주를동류들보다뛰어나게하셨도다하였고
히1:10 또주여태초에주께서땅의기초를두셨으며하늘도주의손으로지으신바라
히1:11 그것들은멸망할것이나오직주는영존할것이요그것들은다옷과같이낡아지리니
히1:12 의복처럼갈아입을것이요그것들은옷과같이변할것이나주는여전하여연대가다함이없으리라하였으나
히1:13 어느때에천사중누구에게내가네원수로네발등상이되게하기까지너는내우편에앉아있으라하셨느냐
히1:14 모든천사들은섬기는영으로서구원받을상속자들을위하여섬기라고보내심이아니냐
히2:1 그러므로우리는들은것에더욱유념함으로우리가흘러떠내려가지않도록함이마땅하니라
히2:2 천사들을통하여하신말씀이견고하게되어모든범죄함과순종하지아니한자들이공정한보응을받았거든
히2:3 우리가이같이큰구원을등한히여기면어찌그보응을피하리요이구원은처음에주로말씀하신바요들은자들이우리에게확증한바니
히2:4 하나님도표적들과기사들과여러가지능력과및자기의뜻을따라성령이나누어주신것으로써그들과함께증언하셨느니라
히2:5 하나님이우리가말하는바장차올세상을천사들에게복종하게하심이아니니라
히2:6 그러나누구인가가어디에서증언하여이르되사람이무엇이기에주께서그를생각하시며인자가무엇이기에주께서그를돌보시나이까
히2:7 그를잠시동안천사보다못하게하시며영광과존귀로관을씌우시며3)
히2:8 만물을그발아래에복종하게하셨느니라하였으니만물로그에게복종하게하셨은즉복종하지않은것이하나도없어야하겠으나지금우리가만물이아직그에게복종하고있는것을보지못하고
히2:9 오직우리가천사들보다잠시동안못하게하심을입은자곧죽음의고난받으심으로말미암아영광과존귀로관을쓰신예수를보니이를행하심은하나님의은혜로말미암아모든사람을위하여죽음을맛보려하심이라
히2:10 그러므로만물이그를위하고또한그로말미암은이가많은아들들을이끌어영광에들어가게하시는일에그들의구원의창시자를고난을통하여온전하게하심이합당하도다
히2:11 거룩하게하시는이와거룩하게함을입은자들이다한근원에서난지라그러므로형제라부르시기를부끄러워하지아니하시고
히2:12 이르시되내가주의이름을내형제들에게선포하고내가주를교회중에서찬송하리라하셨으며
히2:13 또다시내가그를의지하리라하시고또다시볼지어다나와및하나님께서내게주신자녀라하셨으니
히2:14 자녀들은혈과육에속하였으매그도또한같은모양으로혈과육을함께지니심은죽음을통하여죽음의세력을잡은자곧마귀를멸하시며
히2:15 또죽기를무서워하므로한평생매여종노릇하는모든자들을놓아주려하심이니
히2:16 이는확실히천사들을붙들어주려하심이아니요오직아브라함의자손을붙들어주려하심이라
히2:17 그러므로그가범사에형제들과같이되심이마땅하도다이는하나님의일에자비하고신실한대제사장이되어백성의죄를속량하려하심이라
히2:18 그가시험을받아고난을당하셨은즉시험받는자들을능히도우실수있느니라
히3:1 그러므로함께하늘의부르심을받은거룩한형제들아우리가믿는도리의사도이시며대제사장이신예수를깊이생각하라
히3:2 그는자기를세우신이에게신실하시기를모세가하나님의온집에서한것과같이하셨으니
히3:3 그는모세보다더욱영광을받을만한것이마치집지은자가그집보다더욱존귀함같으니라
히3:4 집마다지은이가있으니만물을지으신이는하나님이시라
히3:5 또한모세는장래에말할것을증언하기위하여하나님의온집에서종으로서신실하였고
히3:6 그리스도는하나님의집을맡은아들로서그와같이하셨으니우리가소망의확신과자랑을끝까지굳게잡고있으면우리는그의집이라
히3:7 그러므로성령이이르신바와같이오늘너희가그의음성을듣거든
히3:8 광야에서시험하던날에거역하던것같이너희마음을완고하게하지말라
히3:9 거기서너희열조가나를시험하여증험하고사십년동안나의행사를보았느니라
히3:10 그러므로내가이세대에게노하여이르기를그들이항상마음이미혹되어내길을알지못하는도다하였고
히3:11 내가노하여맹세한바와같이그들은내안식에들어오지못하리라하였다하였느니라
히3:12 형제들아너희는삼가혹너희중에누가믿지아니하는악한마음을품고살아계신하나님에게서떨어질까조심할것이요
히3:13 오직오늘이라일컫는동안에매일피차권면하여너희중에누구든지죄의유혹으로완고하게되지않도록하라
히3:14 우리가시작할때에확신한것을끝까지견고히잡고있으면그리스도와함께참여한자가되리라
히3:15 성경에일렀으되오늘너희가그의음성을듣거든격노하시게하던것같이너희마음을완고하게하지말라하였으니
히3:16 듣고격노하시게하던자가누구냐모세를따라애굽에서나온모든사람이아니냐
히3:17 또하나님이사십년동안누구에게노하셨느냐그들의시체가광야에엎드러진범죄한자들에게가아니냐
히3:18 또하나님이누구에게맹세하사그의안식에들어오지못하리라하셨느냐곧순종하지아니하던자들에게가아니냐
히3:19 이로보건대그들이믿지아니하므로능히들어가지못한것이라
히4:1 그러므로우리는두려워할지니그의안식에들어갈약속이남아있을지라도너희중에는혹이르지못할자가있을까함이라
히4:2 그들과같이우리도복음전함을받은자이나들은바그말씀이그들에게유익하지못한것은듣는자가믿음과결부시키지아니함이라
히4:3 이미믿는우리들은저안식에들어가는도다그가말씀하신바와같으니내가노하여맹세한바와같이그들이내안식에들어오지못하리라하셨다하였으나세상을창조할때부터그일이이루어졌느니라
히4:4 제칠일에관하여는어딘가에이렇게일렀으되하나님은제칠일에그의모든일을쉬셨다하였으며
히4:5 또다시거기에그들이내안식에들어오지못하리라하였으니
히4:6 그러면거기에들어갈자들이남아있거니와복음전함을먼저받은자들은순종하지아니함으로말미암아들어가지못하였으므로
히4:7 오랜후에다윗의글에다시어느날을정하여오늘이라고미리이같이일렀으되오늘너희가그의음성을듣거든너희마음을완고하게하지말라하였나니
히4:8 만일여호수아가그들에게안식을주었더라면그후에다른날을말씀하지아니하셨으리라
히4:9 그런즉안식할때가하나님의백성에게남아있도다
히4:10 이미그의안식에들어간자는하나님이자기의일을쉬심과같이그도자기의일을쉬느니라
히4:11 그러므로우리가저안식에들어가기를힘쓸지니이는누구든지저순종하지아니하는본에빠지지않게하려함이라
히4:12 하나님의말씀은살아있고활력이있어좌우에날선어떤검보다도예리하여혼과영과및관절과골수를찔러쪼개기까지하며또마음의생각과뜻을판단하나니
히4:13 지으신것이하나도그앞에나타나지않음이없고우리의결산을받으실이의눈앞에만물이벌거벗은것같이드러나느니라
히4:14 그러므로우리에게큰대제사장이계시니승천하신이곧하나님의아들예수시라우리가믿는도리를굳게잡을지어다
히4:15 우리에게있는대제사장은우리의연약함을동정하지못하실이가아니요모든일에우리와똑같이시험을받으신이로되죄는없으시니라
히4:16 그러므로우리는긍휼하심을받고때를따라돕는은혜를얻기위하여은혜의보좌앞에담대히나아갈것이니라
히5:1 대제사장마다사람가운데서택한자이므로하나님께속한일에사람을위하여예물과속죄하는제사를드리게하나니
히5:2 그가무식하고미혹된자를능히용납할수있는것은자기도연약에휩싸여있음이라
히5:3 그러므로백성을위하여속죄제를드림과같이또한자신을위하여도드리는것이마땅하니라
히5:4 이존귀는아무도스스로취하지못하고오직아론과같이하나님의부르심을받은자라야할것이니라
히5:5 또한이와같이그리스도께서대제사장되심도스스로영광을취하심이아니요오직말씀하신이가그에게이르시되너는내아들이니내가오늘너를낳았다하셨고
히5:6 또한이와같이다른데서말씀하시되네가영원히멜기세덱의반차를따르는제사장이라하셨으니
히5:7 그는육체에계실때에자기를죽음에서능히구원하실이에게심한통곡과눈물로간구와소원을올렸고그의경건하심으로말미암아들으심을얻었느니라
히5:8 그가아들이시면서도받으신고난으로순종함을배워서
히5:9 온전하게되셨은즉자기에게순종하는모든자에게영원한구원의근원이되시고
히5:10 하나님께멜기세덱의반차를따른대제사장이라칭하심을받으셨느니라
히5:11 멜기세덱에관하여는우리가할말이많으나너희가듣는것이둔하므로설명하기어려우니라
히5:12 때가오래되었으므로너희가마땅히선생이되었을터인데너희가다시하나님의말씀의초보에대하여누구에게서가르침을받아야할처지이니단단한음식은못먹고젖이나먹어야할자가되었도다
히5:13 이는젖을먹는자마다어린아이니의의말씀을경험하지못한자요
히5:14 단단한음식은장성한자의것이니그들은지각을사용함으로연단을받아선악을분별하는자들이니라
히6:1 그러므로우리가그리스도의도의초보를버리고죽은행실을회개함과하나님께대한신앙과
히6:2 세례들과안수와죽은자의부활과영원한심판에관한교훈의터를다시닦지말고완전한데로나아갈지니라
히6:3 하나님께서허락하시면우리가이것을하리라
히6:4 한번빛을받고하늘의은사를맛보고성령에참여한바되고
