출1:1 야곱과함께각각자기가족을데리고애굽에이른이스라엘아들들의이름은이러하니
출1:2 르우벤과시므온과레위와유다와
출1:3 잇사갈과스불론과베냐민과
출1:4 단과납달리와갓과아셀이요
출1:5 야곱의허리에서나온사람이모두칠십이요요셉은애굽에있었더라
출1:6 요셉과그의모든형제와그시대의사람은다죽었고
출1:7 이스라엘자손은생육하고불어나번성하고매우강하여온땅에가득하게되었더라
출1:8 요셉을알지못하는새왕이일어나애굽을다스리더니
출1:9 그가그백성에게이르되이백성이스라엘자손이우리보다많고강하도다
출1:10 자,우리가그들에게대하여지혜롭게하자두렵건대그들이더많게되면전쟁이일어날때에우리대적과합하여우리와싸우고이땅에서나갈까하노라하고
출1:11 감독들을그들위에세우고그들에게무거운짐을지워괴롭게하여그들에게바로를위하여국고성비돔과라암셋을건축하게하니라
출1:12 그러나학대를받을수록더욱번성하여퍼져나가니애굽사람이이스라엘자손으로말미암아근심하여
출1:13 이스라엘자손에게일을엄하게시켜
출1:14 어려운노동으로그들의생활을괴롭게하니곧흙이기기와벽돌굽기와농사의여러가지일이라그시키는일이모두엄하였더라
출1:15 애굽왕이히브리산파십브라라하는사람과부아라하는사람에게말하여
출1:16 이르되너희는히브리여인을위하여해산을도울때에그자리를살펴서아들이거든그를죽이고딸이거든살려두라
출1:17 그러나산파들이하나님을두려워하여애굽왕의명령을어기고남자아기들을살린지라
출1:18 애굽왕이산파를불러그들에게이르되너희가어찌하여이같이남자아기들을살렸느냐
출1:19 산파가바로에게대답하되히브리여인은애굽여인과같지아니하고건장하여산파가그들에게이르기전에해산하였더이다하매
출1:20 하나님이그산파들에게은혜를베푸시니그백성은번성하고매우강해지니라
출1:21 그산파들은하나님을경외하였으므로하나님이그들의집안을흥왕하게하신지라
출1:22 그러므로바로가그의모든백성에게명령하여이르되아들이태어나거든너희는그를나일강에던지고딸이거든살려두라하였더라
출2:1 레위가족중한사람이가서레위여자에게장가들어
출2:2 그여자가임신하여아들을낳으니그가잘생긴것을보고석달동안그를숨겼으나
출2:3 더숨길수없게되매그를위하여갈대상자를가져다가역청과나무진을칠하고아기를거기담아나일강가갈대사이에두고
출2:4 그의누이가어떻게되는지를알려고멀리섰더니
출2:5 바로의딸이목욕하러나일강으로내려오고시녀들은나일강가를거닐때에그가갈대사이의상자를보고시녀를보내어가져다가
출2:6 열고그아기를보니아기가우는지라그가그를불쌍히여겨이르되이는히브리사람의아기로다
