왕상1:1 다윗왕이나이가많아늙으니이불을덮어도따뜻하지아니한지라
왕상1:2 그의시종들이왕께아뢰되우리주왕을위하여젊은처녀하나를구하여그로왕을받들어모시게하고왕의품에누워우리주왕으로따뜻하시게하리이다하고
왕상1:3 이스라엘사방영토내에아리따운처녀를구하던중수넴여자아비삭을얻어왕께데려왔으니
왕상1:4 이처녀는심히아름다워그가왕을받들어시중들었으나왕이잠자리는같이하지아니하였더라
왕상1:5 그때에학깃의아들아도니야가스스로높여서이르기를내가왕이되리라하고자기를위하여병거와기병과호위병오십명을준비하니
왕상1:6 그는압살롬다음에태어난자요용모가심히준수한자라그의아버지가네가어찌하여그리하였느냐고하는말로한번도그를섭섭하게한일이없었더라
왕상1:7 아도니야가스루야의아들요압과제사장아비아달과모의하니그들이따르고도우나
왕상1:8 제사장사독과여호야다의아들브나야와선지자나단과시므이와레이와다윗의용사들은아도니야와같이하지아니하였더라
왕상1:9 아도니야가에느로겔근방소헬렛바위곁에서양과소와살찐송아지를잡고왕자곧자기의모든동생과왕의신하된유다모든사람을다청하였으나
왕상1:10 선지자나단과브나야와용사들과자기동생솔로몬은청하지아니하였더라
왕상1:11 나단이솔로몬의어머니밧세바에게말하여이르되학깃의아들아도니야가왕이되었음을듣지못하였나이까우리주다윗은알지못하시나이다
왕상1:12 이제내게당신의생명과당신의아들솔로몬의생명을구할계책을말하도록허락하소서
왕상1:13 당신은다윗왕앞에들어가서아뢰기를내주왕이여전에왕이여종에게맹세하여이르시기를네아들솔로몬이반드시나를이어왕이되어내왕위에앉으리라하지아니하셨나이까그런데아도니야가무슨이유로왕이되었나이까하소서
왕상1:14 당신이거기서왕과말씀하실때에나도뒤이어들어가서당신의말씀을확증하리이다
왕상1:15 밧세바가이에침실에들어가왕에게이르니왕이심히늙었으므로수넴여자아비삭이시중들었더라
왕상1:16 밧세바가몸을굽혀왕께절하니왕이이르되어찌됨이냐
왕상1:17 그가왕께대답하되내주여왕이전에왕의하나님여호와를가리켜여종에게맹세하시기를네아들솔로몬이반드시나를이어왕이되어내왕위에앉으리라하셨거늘
왕상1:18 이제아도니야가왕이되었어도내주왕은알지못하시나이다
왕상1:19 그가수소와살찐송아지와양을많이잡고왕의모든아들과제사장아비아달과군사령관요압을청하였으나왕의종솔로몬은청하지아니하였나이다
왕상1:20 내주왕이여온이스라엘이왕에게다주목하고누가내주왕을이어그왕위에앉을지를공포하시기를기다리나이다
왕상1:21 그렇지아니하면내주왕께서그의조상들과함께잘때에나와내아들솔로몬은죄인이되리이다
왕상1:22 밧세바가왕과말할때에선지자나단이들어온지라
왕상1:23 어떤사람이왕께말하여이르되선지자나단이여기있나이다하니그가왕앞에들어와서얼굴을땅에대고왕께절하고
왕상1:24 이르되내주왕께서이르시기를아도니야가나를이어왕이되어내왕위에앉으리라하셨나이까
왕상1:25 그가오늘내려가서수소와살찐송아지와양을많이잡고왕의모든아들과군사령관들과제사장아비아달을청하였는데그들이아도니야앞에서먹고마시며아도니야왕은만세수를하옵소서하였나이다
왕상1:26 그러나왕의종나와제사장사독과여호야다의아들브나야와왕의종솔로몬은청하지아니하였사오니
왕상1:27 이것이내주왕께서정하신일이니이까그런데왕께서내주왕을이어그왕위에앉을자를종에게알게하지아니하셨나이다
왕상1:28 다윗왕이명령하여이르되밧세바를내앞으로부르라하매그가왕의앞으로들어가그앞에서는지라
왕상1:29 왕이이르되내생명을모든환난에서구하신여호와께서살아계심을두고맹세하노라
왕상1:30 내가이전에이스라엘의하나님여호와를가리켜네게맹세하여이르기를네아들솔로몬이반드시나를이어왕이되고나를대신하여내왕위에앉으리라하였으니내가오늘그대로행하리라
왕상1:31 밧세바가얼굴을땅에대고절하며내주다윗왕은만세수를하옵소서하니라
왕상1:32 다윗왕이이르되제사장사독과선지자나단과여호야다의아들브나야를내앞으로부르라하니그들이왕앞에이른지라
왕상1:33 왕이그들에게이르되너희는너희주의신하들을데리고내아들솔로몬을내노새에태우고기혼으로인도하여내려가고
왕상1:34 거기서제사장사독과선지자나단은그에게기름을부어이스라엘왕으로삼고너희는뿔나팔을불며솔로몬왕은만세수를하옵소서하고
왕상1:35 그를따라올라오라그가와서내왕위에앉아나를대신하여왕이되리라내가그를세워이스라엘과유다의통치자로지명하였느니라
왕상1:36 여호야다의아들브나야가왕께대답하여이르되아멘내주왕의하나님여호와께서도이렇게말씀하시기를원하오며
왕상1:37 또여호와께서내주왕과함께계심같이솔로몬과함께계셔서그의왕위를내주다윗왕의왕위보다더크게하시기를원하나이다하니라
왕상1:38 제사장사독과선지자나단과여호야다의아들브나야와그렛사람과블렛사람이내려가서솔로몬을다윗왕의노새에태우고인도하여기혼으로가서
왕상1:39 제사장사독이성막가운데에서기름담은뿔을가져다가솔로몬에게기름을부으니이에뿔나팔을불고모든백성이솔로몬왕은만세수를하옵소서하니라
왕상1:40 모든백성이그를따라올라와서피리를불며크게즐거워하므로땅이그들의소리로말미암아갈라질듯하니
왕상1:41 아도니야와그와함께한손님들이먹기를마칠때에다들은지라요압이뿔나팔소리를듣고이르되어찌하여성읍중에서소리가요란하냐
왕상1:42 말할때에제사장아비아달의아들요나단이오는지라아도니야가이르되들어오라너는용사라아름다운소식을가져오는도다
왕상1:43 요나단이아도니야에게대답하여이르되과연우리주다윗왕이솔로몬을왕으로삼으셨나이다
왕상1:44 왕께서제사장사독과선지자나단과여호야다의아들브나야와그렛사람과블렛사람을솔로몬과함께보내셨는데그들무리가왕의노새에솔로몬을태워다가
왕상1:45 제사장사독과선지자나단이기혼에서기름을부어왕으로삼고무리가그곳에서올라오며즐거워하므로성읍이진동하였나니당신들에게들린소리가이것이라
왕상1:46 또솔로몬도왕좌에앉아있고
왕상1:47 왕의신하들도와서우리주다윗왕에게축복하여이르기를왕의하나님이솔로몬의이름을왕의이름보다더아름답게하시고그의왕위를왕의위보다크게하시기를원하나이다하매왕이침상에서몸을굽히고
왕상1:48 또한이르시기를이스라엘의하나님여호와를찬송하리로다여호와께서오늘내왕위에앉을자를주사내눈으로보게하셨도다하셨나이다하니
왕상1:49 아도니야와함께한손님들이다놀라일어나각기갈길로간지라
왕상1:50 아도니야도솔로몬을두려워하여일어나가서제단뿔을잡으니
왕상1:51 어떤사람이솔로몬에게말하여이르되아도니야가솔로몬왕을두려워하여지금제단뿔을잡고말하기를솔로몬왕이오늘칼로자기종을죽이지않겠다고내게맹세하기를원한다하나이다
왕상1:52 솔로몬이이르되그가만일선한사람일진대그의머리털하나도땅에떨어지지아니하려니와그에게악한것이보이면죽으리라하고
왕상1:53 사람을보내어그를제단에서이끌어내리니그가와서솔로몬왕께절하매솔로몬이이르기를네집으로가라하였더라
왕상2:1 다윗이죽을날이임박하매그의아들솔로몬에게명령하여이르되
왕상2:2 내가이제세상모든사람이가는길로가게되었노니너는힘써대장부가되고
왕상2:3 네하나님여호와의명령을지켜그길로행하여그법률과계명과율례와증거를모세의율법에기록된대로지키라그리하면네가무엇을하든지어디로가든지형통할지라
왕상2:4 여호와께서내일에대하여말씀하시기를만일네자손들이그들의길을삼가마음을다하고성품을다하여진실히내앞에서행하면이스라엘왕위에오를사람이네게서끊어지지아니하리라하신말씀을확실히이루게하시리라
왕상2:5 스루야의아들요압이내게행한일곧이스라엘군대의두사령관넬의아들아브넬과예델의아들아마사에게행한일을네가알거니와그가그들을죽여태평시대에전쟁의피를흘리고전쟁의피를자기의허리에띤띠와발에신은신에묻혔으니
왕상2:6 네지혜대로행하여그의백발이평안히스올에내려가지못하게하라
왕상2:7 마땅히길르앗바르실래의아들들에게은총을베풀어그들이네상에서먹는자중에참여하게하라내가네형압살롬의낯을피하여도망할때에그들이내게나왔느니라
왕상2:8 바후림베냐민사람게라의아들시므이가너와함께있나니그는내가마하나임으로갈때에악독한말로나를저주하였느니라그러나그가요단에내려와서나를영접하므로내가여호와를두고맹세하여이르기를내가칼로너를죽이지아니하리라하였노라
왕상2:9 그러나그를무죄한자로여기지말지어다너는지혜있는사람이므로그에게행할일을알지니그의백발이피가운데스올에내려가게하라
왕상2:10 다윗이그의조상들과함께누워다윗성에장사되니
왕상2:11 다윗이이스라엘왕이된지사십년이라헤브론에서칠년동안다스렸고예루살렘에서삼십삼년동안다스렸더라
왕상2:12 솔로몬이그의아버지다윗의왕위에앉으니그의나라가심히견고하니라
왕상2:13 학깃의아들아도니야가솔로몬의어머니밧세바에게나아온지라밧세바가이르되네가화평한목적으로왔느냐대답하되화평한목적이니이다
왕상2:14 또이르되내가말씀드릴일이있나이다밧세바가이르되말하라
왕상2:15 그가이르되당신도아시는바이거니와이왕위는내것이었고온이스라엘은다얼굴을내게로향하여왕으로삼으려하였는데그왕권이돌아가내아우의것이되었음은여호와께로말미암음이니이다
왕상2:16 이제내가한가지소원을당신에게구하오니내청을거절하지마옵소서밧세바가이르되말하라
왕상2:17 그가이르되청하건대솔로몬왕에게말씀하여그가수넴여자아비삭을내게주어아내를삼게하소서왕이당신의청을거절하지아니하리이다
